學年度,縣市代碼,縣市名稱,鄉鎮市區,學校代碼,偏遠程度,學校名稱,1年級班級數,2年級班級數,3年級班級數,4年級班級數,5年級班級數,6年級班級數,1年級男學生數,1年級女學生數,2年級男學生數,2年級女學生數,3年級男學生數,3年級女學生數,4年級男學生數,4年級女學生數,5年級男學生數,5年級女學生數,6年級男學生數,6年級女學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
114,12,高雄市,楠梓區,120320,一般,國立高科實中附設國小,3,0,0,0,0,0,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
114,12,高雄市,前鎮區,121302,一般,私立光禾華德福實驗學校(國小部),1,1,1,1,1,1,5,5,3,6,3,4,7,3,5,12,5,3,7,4,1,11,1,2
114,12,高雄市,大樹區,121320,一般,私立義大國際高中附設國小部,2,2,1,2,2,2,22,16,19,14,8,13,18,21,30,16,18,22,27,22,2,11,0,4
114,12,高雄市,鳳山區,124601,一般,市立鳳山國小,4,3,5,4,4,4,37,29,48,38,67,44,44,39,46,45,39,46,52,53,9,37,1,3
114,12,高雄市,鳳山區,124602,一般,市立大東國小,2,2,2,2,1,2,15,15,21,16,22,14,17,18,13,14,18,19,15,17,8,13,1,2
114,12,高雄市,鳳山區,124603,一般,市立文山國小,2,2,3,5,4,3,24,20,25,32,38,29,37,41,39,50,42,42,39,46,9,31,0,3
114,12,高雄市,鳳山區,124604,一般,市立鳳山區中正國小,6,6,8,8,6,6,88,73,87,86,93,87,94,97,94,73,87,82,101,92,19,52,2,2
114,12,高雄市,鳳山區,124605,一般,市立五甲國小,2,1,2,3,2,2,17,17,12,15,24,28,27,15,30,13,14,20,29,20,7,15,1,3
114,12,高雄市,鳳山區,124606,一般,市立曹公國小,2,2,3,2,2,2,22,5,24,25,26,32,23,22,25,15,23,21,10,25,9,19,1,2
114,12,高雄市,鳳山區,124607,一般,市立誠正國小,2,2,1,1,1,1,16,12,18,9,7,9,10,8,12,8,15,12,6,11,4,12,0,2
114,12,高雄市,鳳山區,124608,一般,市立南成國小,5,6,6,6,8,7,70,69,78,77,81,85,85,83,114,83,75,90,112,116,21,47,1,3
114,12,高雄市,鳳山區,124609,一般,市立五福國小,6,6,7,8,9,7,91,81,91,79,98,92,103,101,114,97,88,103,83,103,23,54,3,2
114,12,高雄市,鳳山區,124610,一般,市立鳳山區中山國小,3,5,3,4,3,4,43,42,52,40,37,39,53,53,44,38,61,44,46,37,6,35,0,4
114,12,高雄市,鳳山區,124611,一般,市立新甲國小,11,12,11,13,13,13,140,143,144,173,176,140,202,160,175,180,194,168,195,197,23,102,1,6
114,12,高雄市,鳳山區,124612,一般,市立鳳山區忠孝國小,5,5,5,4,5,6,70,48,65,57,74,57,48,53,61,63,83,61,61,68,12,46,2,4
114,12,高雄市,林園區,124613,一般,市立林園國小,8,10,9,9,9,9,106,123,136,111,133,116,127,130,135,117,143,114,119,139,26,69,2,3
