鄉鎮市區,學校數,總學生數,平均學生數,平均班級數,平均生師比
830,22,16837,765.3181818181819,30.0,13.177928015936619
807,14,14450,1032.142857142857,39.285714285714285,13.474475829276301
813,12,11868,989.0,37.916666666666664,12.618295400955153
811,10,11537,1153.7,42.4,14.882874689054725
806,15,8608,573.8666666666667,23.266666666666666,12.254330504862224
812,13,7353,565.6153846153846,23.23076923076923,12.421397465150779
804,10,7271,727.1,29.2,12.813830545012276
802,10,6979,697.9,28.0,12.783226568297767
831,10,5084,508.4,20.9,12.139266557418154
820,8,5015,626.875,25.0,13.017217752722472
814,6,4172,695.3333333333334,27.333333333333332,11.967764252208696
832,6,2989,498.1666666666667,21.333333333333332,10.850845403079761
821,8,2888,361.0,15.625,10.398296656313214
800,4,2382,595.5,25.25,11.255281805120166
825,5,2011,402.2,16.6,12.732000299895038
833,3,1719,573.0,24.0,13.055707166587567
840,9,1672,185.77777777777777,10.777777777777779,8.132272929073755
842,6,1382,230.33333333333334,11.666666666666666,7.966614906096614
826,2,1296,648.0,26.0,13.675747348119575
815,3,1288,429.3333333333333,18.0,10.925045045045046
822,3,1151,383.6666666666667,18.666666666666668,8.370833333333334
803,3,1144,381.3333333333333,17.333333333333332,12.332241332241331
829,5,1108,221.6,11.2,9.429487179487179
852,4,1065,266.25,13.0,10.143578643578643
843,9,1047,116.33333333333333,8.333333333333334,5.954276895943562
824,6,948,158.0,10.0,7.419572094572094
801,2,904,452.0,23.5,9.540476190476191
827,3,706,235.33333333333334,12.0,9.638345864661654
805,3,649,216.33333333333334,11.666666666666666,8.669599217986315
828,3,384,128.0,8.0,7.044534412955467
844,5,283,56.6,6.2,3.8726806526806525
845,5,277,55.4,6.2,3.8639948287007115
846,5,276,55.2,6.4,3.6535488041370394
848,5,178,35.6,6.0,2.854012654012654
849,2,144,72.0,6.0,5.277472527472527
847,2,109,54.5,6.0,3.9833333333333334
823,2,89,44.5,6.0,3.4230769230769234
851,2,64,32.0,6.0,2.34375
